manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,product__arm_height,product__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__designer_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product_styles
3516010-LED,N/A,,18.00,18.00,32.00,True,253.50,338.00,False,Indoor Lighting,Guildmaster,Barley Twist Led Spindle Lamp In Honey Oak,Barley Twist Spindle Lamps In Honey Oak Finish On Carved Wood Spindle Lamp. Fabric Drum Shade. Includes screw-in medium base LED bulb.,"Includes Easily Replaceable E26 Medium Base, Screw-In Led Bulb(S).","Dimmable 9.5 Watts Each, With 800  Total Lumen Output.",,,,,,,1,IDN,O-100370,,,,,Yes,A19 LED,,,,,False,,Honey Oak,,False,False,,,"Wood, Fabric",1,,False,,,,,Fabric Drum Shade,,3-Way,True,,9.5,,,22.70,19.00,33.60,18.80,,,,,,,,,Traditional
156-001,081-800801965-4,11.00,14.00,14.00,14.40,True,108.00,144.00,False,Decorative Accessory,Dimond Home,Barn Gray Currigated Pot,"Raw unadorned organic design is the only way to describe this matte gray ceramic vase. The look of green ware before it is fired, straight from the potters wheel with striated horizontal bands that encircle the vase from top to bottom can be complemented",Handcrafted,,,,,,,,1,CHN,O-100371,,,,,,,,,,,False,,Light Grey Stone,,,,,,Earthenware,,,False,,,,,,,,False,,,,,15.00,18.10,18.10,18.10,,,,,,,,,
3215-015,081-800804206-5,4.86,20.00,20.00,19.00,True,238.50,318.00,False,Indoor Lighting,Dimond Lighting,Barnstorm Pendant,,,,,,,,,,1,CHN,O-100372,,,,,No,A19,Brown,72,,,False,,"Wood Tone, Pewter",,,,,,"Metal, Wood",1,,False,,,,,,,,True,,40,,,10.00,23.00,13.00,23.00,,,,,,,,,Transitional
150-012,084-355812799-3,6.00,19.00,22.00,37.00,True,331.50,442.00,False,Seating,Sterling,Baroque Side Chair,Made From Solid Mango Wood And Finished In A Gloss Black Finish With Black Patent Cushion And Scroll Back Detail This Accent Chair Has Updated Mixes Traditional Elements With Modern For An Eclectic Appeal.,,,,,,,,,1,CHN,O-100373,,,,,,,,,,,False,,"Black Patent Fabric, Gloss Black",,,False,,,"Mango Wood, MDF, Mango Veneer",,,False,,,,,,,,False,,,,,7.00,39.00,28.00,20.00,,,,,,,,,Transitional
7116506,080-434319521-4,,30.00,30.00,16.00,True,598.50,798.00,False,Furniture,Guildmaster,Barrel Basket Coffee Table,,,,,,,,,,1,IDN,O-100374,,,,,,,,,,,False,,"Classic Artisan Stain, Classic Woodlands Stain",,,,,,Solid Mahogany,,,False,,,,,,,,False,,,,,,33.30,33.30,21.70,,,,,,,,,Transitional
D2590-HUE-B,083-033502642-6,15.00,18.00,18.00,63.00,True,574.50,766.00,False,Indoor Lighting,Dimond Lighting,Barrel Frame Floor Lamp In Polished Nickel - With Philips Hue Led Bulb/Bridge,"strong vertical lines, generous scale and a robust cylindrical silhouette give the Barrel Frame Floor Lamp a substantial, traditional feel; while slender metalwork completely opens the structure, freshening and updating the design. Immaculate Polished Nickel color story. Stylish, silky White shade. Philips Hue is your personal wireless lighting system that lets you easily control your light and create the right ambiance for every moment. Bring your smart home to life with the most connected light in the world. Philips Hue welcomes you home and lets you control your lights from your bedroom or your backyard. It even makes it seem like you’re home when you’re not. It’s all about simplifying your life. (Must use with Philips Hue Bridge and smartdevice for full functionality.)",Philips Hue White A19 Led 60W-Eqv Dimmable Smart Wireless Bulb(S) Included.,Philips Hue Bridge Included.,,,,,,,1,CHN,O-100375,,,,,Yes,A19 LED,Silver,72,,Philips Friends of Hue,False,,Polished Nickel,,False,False,,,Metal,1,,False,,,,,White Faux Silk With Hardback Frame,,Hue,True,,60,,,19.00,17.00,59.00,16.00,6.00,17.00,19.00,19.00,,,,,Transitional
D2590-HUE-D,083-033503008-9,15.00,18.00,18.00,63.00,True,534.00,712.00,False,Indoor Lighting,Dimond Lighting,Barrel Frame Floor Lamp In Polished Nickel - With Philips Hue Led Bulb/Dimmer,"strong vertical lines, generous scale and a robust cylindrical silhouette give the Barrel Frame Floor Lamp a substantial, traditional feel; while slender metalwork completely opens the structure, freshening and updating the design. Immaculate Polished Nickel color story. Stylish, silky White shade. Philips Hue is your personal wireless lighting system that lets you easily control your light and create the right ambiance for every moment. Bring your smart home to life with the most connected light in the world. Philips Hue welcomes you home and lets you control your lights from your bedroom or your backyard. It even makes it seem like you’re home when you’re not. It’s all about simplifying your life. (Must use with Philips Hue Bridge and smartdevice for full functionality.)",Philips Hue White A19 Led 60W-Eqv Dimmable Smart Wireless Bulb(S) Included.,Philips Hue Dimmer Switch Included.,,,,,,,1,CHN,O-100375,,,,,Yes,A19 LED,Silver,72,,Philips Friends of Hue,False,,Polished Nickel,,False,False,,,Metal,1,,False,,,,,White Faux Silk With Hardback Frame,,Hue,True,,60,,,19.00,17.00,59.00,16.00,6.00,17.00,19.00,19.00,,,,,Transitional
D2590-LED,074-811908024-6,15.00,18.00,18.00,63.00,True,481.50,642.00,False,Indoor Lighting,Dimond Lighting,Barrel Frame Led Floor Lamp In Polished Chrome,This Barrel Shaped Metal Table Floor Is Sleek Minimalist And Modern. The Smooth Frame-Like Body Has A Clean Polished Chrome Finish. Completing The Piece Is A Faux Silk Shade.,"Includes Dimmable, Easily Replaceable 9.5 Watt 800 Lumen Screw-In Led Bulb",,,,,,,,1,CHN,O-100375,,,,,Yes,A21 LED 3-Way,,72,,,False,,Polished Chrome,,False,False,,,Metal,1,,False,,,,,White Faux Silk With Hardback Frame,,3-Way,True,,9.5,,,10.00,16.00,50.00,16.00,2.50,18.00,20.00,20.00,,,,,Transitional
D2591-HUE-B,083-033502643-3,9.30,18.00,18.00,63.00,True,544.50,726.00,False,Indoor Lighting,Dimond Lighting,Barrel Frame Floor Lamp In Gold Leaf Finish - With Philips Hue Led Bulb/Bridge,Philips Hue is your personal wireless lighting system that lets you easily control your light and create the right ambiance for every moment. Bring your smart home to life with the most connected light in the world. Philips Hue welcomes you home and lets you control your lights from your bedroom or your backyard. It even makes it seem like you’re home when you’re not. It’s all about simplifying your life. (Must use with Philips Hue Bridge and smartdevice for full functionality.),Philips Hue White A19 Led 60W-Eqv Dimmable Smart Wireless Bulb(S) Included.,Philips Hue Bridge Included.,,,,,,,1,CHN,O-100375,,,,,Yes,A19 LED,Gold,,,Philips Friends of Hue,False,,Gold Leaf,,False,False,,,Metal,1,,False,,,,,White Faux Silk Shade,,Hue,True,,60,,,11.70,16.00,50.00,16.00,2.40,17.00,20.00,20.00,,,,,Transitional
D2591-HUE-D,083-033503009-6,9.30,18.00,18.00,63.00,True,504.00,672.00,False,Indoor Lighting,Dimond Lighting,Barrel Frame Floor Lamp In Gold Leaf Finish - With Philips Hue Led Bulb/Dimmer,Philips Hue is your personal wireless lighting system that lets you easily control your light and create the right ambiance for every moment. Bring your smart home to life with the most connected light in the world. Philips Hue welcomes you home and lets you control your lights from your bedroom or your backyard. It even makes it seem like you’re home when you’re not. It’s all about simplifying your life. (Must use with Philips Hue Bridge and smartdevice for full functionality.),Philips Hue White A19 Led 60W-Eqv Dimmable Smart Wireless Bulb(S) Included.,Philips Hue Dimmer Switch Included.,,,,,,,1,CHN,O-100375,,,,,Yes,A19 LED,Gold,,,Philips Friends of Hue,False,,Gold Leaf,,False,False,,,Metal,1,,False,,,,,White Faux Silk Shade,,Hue,True,,60,,,11.70,16.00,50.00,16.00,2.40,17.00,20.00,20.00,,,,,Transitional
D2591-LED,074-811908025-3,9.30,18.00,18.00,63.00,True,451.50,602.00,False,Indoor Lighting,Dimond Lighting,Barrel Frame Led Floor Lamp In Gold Leaf Finish,This Barrel Shaped Metal Table Floor Is Sleek Minimalist And Modern. The Smooth Frame-Like Body Has A Fresh Gold Finish To Add A Slight Hint Of Glam. Completing The Piece Is A Faux Silk Shade.,"Includes Dimmable, Easily Replaceable 9.5 Watt 800 Lumen Screw-In Led Bulb",,,,,,,,1,CHN,O-100375,,,,,Yes,A21 LED 3-Way,,,,,False,,Gold Leaf,,False,False,,,Metal,1,,False,,,,,White Faux Silk Shade,,3-Way,True,,9.5,,,11.70,16.00,50.00,16.00,2.40,17.00,20.00,20.00,,,,,Transitional
643567G,040-003000809-8,,18.00,36.00,30.00,True,748.50,998.00,False,Furniture,Guildmaster,Barrel Wine Rack,,,,,,,,,,1,IDN,O-100376,,,,,,,,,,,False,,Hand-Painted,,,,,,Wood,,,False,,,,,,,,False,,,,,77.10,37.50,19.30,31.70,,,,,,,,,Traditional
D3035,074-811910653-3,9.00,18.00,18.00,32.00,True,124.00,223.20,False,Indoor Lighting,Dimond Lighting,Barthelemy Table Lamp,,Handcrafted,,,,,,,,1,CHN,O-100377,,,,,No,A21 3-Way,,,,,False,,Antique Mercury,,False,False,,,"Acrylic, Glass, Linen",1,,False,,,,,Grey Linen Fabric Shade With Warm Grey Liner,,3-Way,True,,150,,,11.00,19.00,26.00,19.00,,,,,,,,,Transitional
6416533,080-434319523-8,,17.00,60.00,29.00,True,973.50,1298.00,False,Furniture,Guildmaster,Base For Chinoiserie Bookcase,,,,,,,,,,1,IDN,O-100378,,,,,,,,,,,False,,Grain De Bois Blanc,,,,,,Solid Mahogany,,,False,,,,,,,,False,,,,,,32.30,63.00,18.30,,,,,,,,,Transitional
641503,080-432320224-6,,18.00,66.00,46.00,True,1648.50,2198.00,False,Furniture,Guildmaster,Basil Cottage Chest,"Sage Grey finish on solid wood chest. Artisan Stain finish on drawer fronts and chest surface. Antiqued bail, pendant, and locking hardware.",Hand Painted,,,,,,,,1,IDN,O-100379,,,,,,,,,,,False,,"Artisan Stain, Sage Grey",,,,,,Mahogany,,,False,,,,,,,,False,,,,,247.00,69.00,51.00,21.00,,,,,,,,,Traditional
643545,080-432310864-7,,18.00,66.00,46.50,True,1648.50,2198.00,False,Furniture,Guildmaster,Basil Cottage Chest,"Ash Black Stain finish on hand-carved mahogany chest. Drawer fronts are finished in Artisan, Woodlands, Retreat, and Heritage Grey Stain. Antiqued hardware.",Hand Painted,,,,,,,,1,IDN,O-100379,,,,,,,,,,,False,,"Ash Black Stain, Artisan Stain, Heritage Grey Stain",,,,,,Mahogany,,,False,,,,,,,,False,,,,,237.00,68.00,20.00,50.00,,,,,,,,,Traditional
644034,080-432310323-9,,21.50,66.00,46.00,True,1798.50,2398.00,False,Furniture,Guildmaster,Basil Cottage Chest,Antique tile art on paper overlaid on a European nine drawer Basil Cottage Chest. Finished top in Heritage Grey Stain.,Hand Painted,,,,,,,,1,IDN,O-100379,,,,,,,,,,,False,,Heritage Grey Stain,,,,,,Mahogany,,,False,,,,,,,,False,,,,,150.00,68.50,51.00,24.00,,,,,,,,,Traditional
644540,080-432310148-8,,21.50,66.00,46.00,True,1648.50,2198.00,False,Furniture,Guildmaster,Basil Cottage Chest,Waterfront Grey Stain Light finish European nine drawer Basil Cottage Chest. Drawer fronts are finished in Waterfront Greyed Sea Green. Antiqued and locking hardware.,Hand Painted,,,,,,,,1,IDN,O-100379,,,,,,,,,,,False,,"Waterfront Grey Stain Light, Waterfront Greyed Sea Green",,,,,,Mahogany,,,False,,,,,,,,False,,,,,256.00,51.00,69.00,25.00,,,,,,,,,Traditional
6416530,080-434319597-9,,18.00,66.00,46.00,True,1648.50,2198.00,False,Furniture,Guildmaster,Basil Cottage Chest,,,,,,,,,,1,IDN,O-100379,,,,,,,,,,,False,,"Grain De Bois Noir, Silver Leaf",,,,,,Solid Mahogany,,,False,,,,,,,,False,,,,,,50.80,68.50,20.50,,,,,,,,,Transitional
623003,080-432323003-4,,15.00,48.00,48.00,True,1048.50,1398.00,False,Furniture,Guildmaster,Basket Shelves,Heritage Grey Stain on wood shelves with wire baskets in rustic metal finish. Hand-painted graphics on reclaimed tin embellishments.,Hand Painted,,,,,,,,1,IDN,O-100380,,,,,,,,,,,False,,Heritage Grey Stain,,,,,,"Mahogany, Metal",,,False,,,,,,,,False,,,,,41.40,17.30,35.80,17.30,68.90,17.70,19.30,52.40,,,,,Traditional
D3823,081-800804101-3,9.46,16.00,16.00,30.00,True,85.00,153.00,False,Indoor Lighting,Dimond Lighting,Bastien Table Lamp,,Grey Faux Silk Hardback Shade,,,,,,,,1,CHN,O-100381,,,,,No,A21 3-Way,Gray,66,,,False,,"Polished Concrete, Antique Gold",,False,,,,"Concrete, Composite",1,,False,,,,,,,3-Way,True,,150,,,13.00,17.00,27.00,17.00,,,,,,,,,Transitional
6100-018,084-355813951-4,20.00,2.00,20.50,70.70,True,267.00,356.00,False,Wall Decor,Sterling,Bastille Mirror With Floor Stand,"Inspired by the indelible sophistication of 18th Century French Boiserie paneling, our Bastille collection Floor Mirror balances crisp wainscots with a delightful Crown Tulip cartouche trimmed with sprightly oak volutes and delicate rosettes. A gracefully scrolled Anthemion sigil further harmonizes the silhouette, completing the design. Distinctive Grey White Wash color story.",,,,,,,,,1,CHN,O-100382,,,,,,,,,,,False,,Grey Whitewash,,,,,,Composite,,,False,,,,,,,,False,,,,,23.00,22.00,75.00,3.00,,,,,,,,,Traditional
D3138,081-093700156-4,,18.00,18.00,32.00,True,89.00,160.20,False,Indoor Lighting,Dimond Lighting,Bastion Table Lamp,,,,,,,,,,1,CHN,O-100383,,,,,No,A21 3-Way,,66,,,False,,Polished Concrete,,False,False,,,"Concrete, Linen",1,,False,,,,,,,3-Way,True,,150,,,15.00,22.00,19.00,19.00,,,,,,,,,Transitional
387-052/S2,081-800804208-9,2.31,4.72,4.72,25.91,True,88.50,118.00,False,Decorative Accessory,Sterling,Baton Rouge Decorative Finials,,Antique Finish,Weathered Patina Details,Modern Farmhouse Flair,,,,,,2,CHN,O-100384,,,,,,,Brown,,,,False,,Malabar Silver,,,,,,Composite,,,False,,,,,,,,False,,,,,7.92,11.61,28.35,6.69,,,,,,,,,Traditional
6518005,080-434320201-1,81.00,18.00,72.00,30.00,True,748.50,998.00,False,Seating,Guildmaster,Bay Shore Bench,Latte finish on carved teak bench.,,,,,,,,,1,IDN,O-100385,,,,,,,Brown,,,,False,,Latte Teak,,,,,,Teak,,,False,,72,18.00,18,,,,False,,,,900,88.00,75.00,31.00,21.00,,,,,,,,,Traditional
6080928,080-909680928-9,2.50,,,,True,58.50,78.00,False,Seating,Sterling,Baya Parsons Chair - (Cover Only),,,,,,,,,,1,,O-100386,,,,,,,,,,,False,,Baya,,,False,,,,,,False,,,,,,,,False,,,,,3.00,21.50,23.00,11.00,,,,,,,,,
2917025,080-434319732-4,,24.00,24.00,4.00,True,73.50,98.00,False,Decorative Accessory,Guildmaster,Beach Ball Pillow,Handpainted beach ball on white acrylic fabric pillow.,,,,,,,,,1,IDN,O-100387,,,,,,,,,,,False,,Hand-Painted Art,,,,,,Acrylic Fabric,,,False,,,,,,,,False,,,,,6.00,20.00,9.00,20.00,,,,,,,,,Traditional
164523,080-432364523-4,,2.00,40.00,40.00,True,283.50,378.00,False,Wall Decor,Guildmaster,Beach House,"All beach houses are life preservers. Evocative of a rustic lifebuoy, our Beach House Mahogany Sign showcases authentic Weathered Grey surfacing and a witty natural rope tassel. Generously scaled with refreshing Sea Foam accents. Hand painted.",Hand Painted,,,,,,,,1,IDN,O-100388,,,,,,,,,,,False,,Hand-Painted,,,,,,Mahogany,,,False,,,,,,,,False,,,,,31.00,44.00,43.00,5.00,,,,,,,,,Traditional
2917026,080-434319733-1,,24.00,24.00,4.00,True,73.50,98.00,False,Decorative Accessory,Guildmaster,Beach Pail Pillow,Handpainted beach pail on white acrylic fabric pillow.,,,,,,,,,1,IDN,O-100389,,,,,,,,,,,False,,Hand-Painted Art,,,,,,Acrylic Fabric,,,False,,,,,,,,False,,,,,,24.00,24.00,0.20,,,,,,,,,Traditional
2917028,080-434319735-5,,24.00,24.00,4.00,True,73.50,98.00,False,Decorative Accessory,Guildmaster,Beach Sign Pillow,Handpainted beach sign on white acrylic fabric pillow.,,,,,,,,,1,IDN,O-100389,,,,,,,,,,,False,,Hand-Painted Art,,,,,,Acrylic Fabric,,,False,,,,,,,,False,,,,,7.00,23.00,24.00,9.00,,,,,,,,,Traditional
2917027,080-434319734-8,,24.00,24.00,4.00,True,73.50,98.00,False,Decorative Accessory,Guildmaster,Beach Umbrella Pillow,Handpainted beach umbrella on white acrylic fabric pillow.,,,,,,,,,1,IDN,O-100389,,,,,,,,,,,False,,Hand-Painted Art,,,,,,Acrylic Fabric,,,False,,,,,,,,False,,,,,5.00,23.00,9.00,23.00,,,,,,,,,Traditional
164518S,080-432310247-8,,1.00,16.00,16.00,True,298.50,398.00,False,Wall Decor,Guildmaster,Beach Umbrellas,"A cheerful aria of splashy, nostalgic thought clouds, our Beach Umbrella Vignettes brilliantly capture the vibrant bustle of sun-drenched Mediterranean resorts. Hand painted on textured recycled paper. Waterfront Grey wood frames. Set of 5.",Hand Painted,Set Of 5,,,,,,,5,IDN,O-100390,,,,,,,,,,,False,,Hand-Painted,,,,,,"Paper, Wood",,,False,,,,,,,,False,,,,,26.40,17.70,18.10,14.60,,,,,,,,,Traditional
164506,080-432364506-7,,2.00,30.00,42.00,True,313.50,418.00,False,Wall Decor,Guildmaster,Beached,Hand painted beach dinghy art on textured fabric. Finished art is mounted to white canvas wrapped in wood frame finished in Artisan Stain.,Hand Painted,,,,,,,,1,IDN,O-100391,,,,,,,,,,,False,,Hand-Painted,,,,,,"Fabric, Wood",,,False,,,,,,,,False,,,,,28.60,33.50,46.50,5.10,,,,,,,,,Traditional
162029,080-432316202-1,,2.00,48.00,72.00,True,478.50,638.00,False,Wall Decor,Guildmaster,Beachscape,Hand-painted beach scene on woven raffia canvas mounted on wood panel finished in Artisan Stain.,Hand Painted,,,,,,,,1,IDN,O-100391,,,,,,,,,,,False,,Hand-Painted,,,,,,Wood,,,False,,,,,,,,False,,,,,55.10,74.80,51.20,5.10,,,,,,,,,Traditional
1114-237,081-800803218-9,34.10,18.00,22.00,26.00,True,622.50,830.00,False,Furniture,Dimond Home,Beacon Towers Accent Table,"Lavish coastal mansion. Dazzling Hollywood opera. Black tie premiere. There is no decadent downside of the American Dream. Presenting the Beacon Towers Accent Table: Geometric Gold Leaf metalwork exudes the “snap” and glamour of Art Deco furnishings, while a chic Jet Black glass surface adds drama and sheen. Pair it with a Gloss White coffered lamp and a mint condition Photoplay.",,,,,,,,,1,CHN,O-100392,,,,,,,,,,,False,,"Black, Gold",,,,,,"Stainless Steel, Glass",,,False,,,,,,,,False,,,,,34.10,27.75,20.50,26.00,,,,,,,,,Transitional
1114-236,081-800803217-2,79.20,26.00,48.00,20.50,True,1090.50,1454.00,False,Furniture,Dimond Home,Beacon Towers Coffee Table,"Lavish coastal mansion. Dazzling Hollywood opera. Black tie premiere. There is no decadent downside of the American Dream. Presenting the Beacon Towers Coffee Table: Geometric Gold Leaf metalwork exudes the “snap” and glamour of Art Deco furnishings, while a chic Jet Black glass surface adds drama and sheen. Pair it with an oversized crystal tray and a mint condition Photoplay.",,,,,,,,,1,CHN,O-100392,,,,,,,,,,,False,,"Black, Gold",,,False,,,"Stainless Steel, Glass",,,False,,,,,,,,False,,,,,79.20,52.25,29.00,23.75,,,,,,,,,Transitional
1114-196,081-800802948-6,48.00,49.30,15.30,33.30,True,1122.00,1496.00,False,Furniture,Dimond Home,Beacon Towers Console Table In Gold Plate And Black Glass,"A lavish coastal mansion. A dazzling Hollywood opera. A black tie film premiere. There is no decadent downside of the American Dream. Introducing our Beacon Towers Collection Console: Elegantly contoured Gold Plated metalwork exudes the “snap” and glamour of Jazz Age furnishings, while a chic Jet Black glass surface adds drama and stability. Pair it with oversized crystal candlesticks and a posh Gloss White coffered lamp.",,,,,,,,,1,CHN,O-100392,,,,,,,,,,,False,,Gold Plate,,,False,,,,,,False,,,,,,,,False,,,,,90.00,44.00,20.00,16.00,,,,,,,,,Transitional
1141-075,074-811912128-4,14.00,12.00,48.00,24.00,True,640.50,854.00,False,Indoor Lighting,Dimond Lighting,Beam Cage Island Light,,,,,,,,,,1,CHN,O-100393,,,,,No,A19,,,,,False,,"Oil Rubbed Bronze Finish, Clear Glass",,,False,,,"METAL, GLASS",3,,False,,,,,,,,False,,,,,15.84,50.79,16.14,18.50,,,,,,,,,Transitional
1141-064,074-811912129-1,3.00,12.00,15.50,15.50,True,255.00,340.00,False,Indoor Lighting,Dimond Lighting,Beam Cage Pendant,,,,,,,,,,1,CHN,O-100394,,,,,No,A19,,,,,False,,"Oil Rubbed Bronze Finish, Clear Glass",,,False,,,"METAL, GLASS",1,,False,,,,,,,,False,,,,,5.06,18.50,16.14,18.50,,,,,,,,,Transitional
7011-1173,084-355815633-7,,18.00,40.00,34.00,True,673.50,898.00,False,Furniture,Sterling,Beatrix Cabinet,,Hand-Applied Nail Head.,,,,,,,,1,IDN,O-100395,,,,,,,,,,,False,,Dove Finish,,,False,,,"SOLID MAHOGANY, WOVEN RAVIA, MDF PANELS",,,False,,,,,,,,False,,,,,123.00,36.00,47.00,20.00,,,,,,,,,Transitional
D2552-LED,074-811906389-8,12.00,15.00,19.00,60.00,True,226.50,302.00,False,Indoor Lighting,Dimond Lighting,Beaufort Led Floor Lamp In Satin Nickel With Adjustable Led Reading Light,,"Includes Dimmable, Easily Replaceable 9.5 Watt 800 Lumen Screw-In Led Bulb",Also Includes Built-In 3 Watt Adjustable Led Reading Light,,,,,,,1,CHN,O-100396,,,,,"Yes, No","A21 LED 3-Way, LED",,,,,False,,Satin Nickel,,False,False,,,Metal,2,,False,,,,,Light Taupe Faux Silk Oval Hardback Shade,,3-Way,True,,9.5,,,10.00,32.00,4.00,10.00,4.00,16.00,11.00,16.00,,,,,Modern / Contemporary
3169-025S,084-355814971-1,17.00,14.00,16.00,22.00,True,150.00,200.00,False,Furniture,Sterling,Beaufort Point Accent Side Table With Drawer,"When “eclectic” becomes too fabulous, it's given another name: Exquisite. Introducing the Beaufort Point Series Faux Shagreen Side Table: Already exhibiting luxurious Art Deco-style flair with its streamlined silhouette and brightly Golden appointments, the Sands boasts the sensually pleasing granular hide patterns evocative of authentic Shagreen-applied furniture. Imagine this one decked out with a vintage telephone and a jet black lava lamp.",,,,,,,,,1,CHN,O-100397,,,,,,,,,,,False,,"Gold, Grey",,,,,,"Metal, Wood",,,False,,,,,,,,False,,,,,18.00,23.00,15.00,18.00,,,,,,,,,Transitional
3169-025T,084-355814970-4,31.20,16.00,40.00,31.00,True,331.50,442.00,False,Furniture,Sterling,Beaufort Point Desk,"When “eclectic” becomes too fabulous, it's given another name: Exquisite. Introducing the Beaufort Point Series Faux Shagreen Desk: Already exhibiting luxurious Art Deco-style flair with its streamlined silhouette and brightly Golden chassis and pulls, the Sands boasts the sensually pleasing granular hide patterns evocative of authentic Shagreen-applied furniture. Imagine this one decked out with a vintage typewriter and a compendium of Mid-Century biographies.",,,,,,,,,1,CHN,O-100398,,,,,,,,,,,False,,"Gold, Grey",,,False,,,"Metal, Wood",,,False,,,,,,,,False,,,,,38.00,42.00,33.00,18.00,,,,,,,,,Transitional
3169-025O,084-355814972-8,7.30,12.00,12.00,16.00,True,81.00,108.00,False,Seating,Sterling,Beaufort Point Square Bench,"When “eclectic” becomes too fabulous, it's given another name: Exquisite. Introducing the Beaufort Point Series Faux Shagreen Square Bench: Already exhibiting luxurious Mid-Century flair with its clean simplicity and richly Golden appointments, the Sands boasts the sensually pleasing granular hide patterns evocative of authentic Shagreen-applied furniture. Imagine this one astride a vintage Deco fainting chaise, adorned with your tired urban foot.",,,,,,,,,1,CHN,O-100399,,,,,,,,,,,False,,Grey,,,False,,,"Metal, Wood",,,False,,,,,,,,False,,,,,8.00,18.00,13.00,13.00,,,,,,,,,Transitional
MW4303A-0026,081-113702106-2,8.10,2.00,22.00,26.00,True,75.00,135.00,False,Wall Decor,Sterling,Beautiful Georgian Period Frame,The charm of this Georgian period frame lies in the layers of intricate details.,,,,,,,,,1,CHN,O-100400,,,,,,,,,,,False,,Venetian Gold,,,,,,,,,False,,,,,,,,False,,,,,11.00,29.60,3.40,25.60,,,,,,,,,Transitional
D3878,081-800804150-1,11.66,25.00,25.00,36.00,True,459.00,826.20,False,Indoor Lighting,Dimond Lighting,Becoming Chandelier,,,,,,,,,,1,CHN,O-100401,,,,,No,B11,Silver,72,,,False,,Silver Leaf,,,,,,"Metal, Crystal",12,,False,,,,,,,,True,,60,,,15.00,40.00,21.00,21.00,,,,,,,,,Modern / Contemporary
7011-1034,081-800803463-3,,16.00,32.00,30.00,True,358.50,478.00,False,Furniture,Dimond Home,Bedford 2 Drawer Bedside Table,,,,,,,,,,1,IDN,O-100402,,,,,,,,,,,False,,"Dove White, Grey",,,,,,"Mahogany, Wood Composite, Fabric",,,False,,,,,,,,False,,,,,63.00,32.00,33.00,18.00,,,,,,,,,Transitional
713023,080-432301529-8,,15.00,15.00,26.00,True,268.50,358.00,False,Furniture,Guildmaster,Bedford Accent Table,Heritage Gray Dark Stain finish on table top and base with antiqued gold metal accents.,Hand Painted,,,,,,,,1,IDN,O-100403,,,,,,,,,,,False,,Heritage Dark Grey Stain,,,,,,"Mahogany, Metal",,,False,,,,,,,,False,,,,,9.00,28.00,7.00,18.00,,,,,,,,,Traditional
713040,080-432371305-6,,48.00,48.00,20.80,True,1153.50,1538.00,False,Furniture,Guildmaster,Bedford Cocktail Table,Heritage Gray Dark Stain finish in carved bamboo cocktail table with framed glass table top.,Hand Painted,,,,,,,,1,IDN,O-100403,,,,,,,,,,,False,,Heritage Dark Grey Stain,,,,,,Mahogany,,,False,,,,,,,,False,,,,,92.60,51.20,52.40,7.50,,,,,,,,,Traditional
7011-055,081-800802450-4,52.00,16.50,55.00,34.00,True,826.50,1102.00,False,Furniture,Dimond Home,Bedford Console,"At Dimond Home, we believe that Modern Abstract Sculpture and functional furniture are in no way mutually exclusive. Introducing our Bedford Omega Console. More than just an appealing contemporary aesthetic, each piece's dynamic, Omega-shaped construction is a complement of crisp, flat planes joined with shimmering Golden braces to form a provocative, glamorous objet d'art. So whether what's needed is a practical surface or distinctive symbol, the ZX makes a bold forward statement. Tasteful Restoration Grey finish.",,,,,,,,,1,IDN,O-100404,,,,,,,,,,,False,,Restoration Grey,,,False,,,"Solid Mahogany, Metal",,,False,,,,,,,,False,,,,,61.10,57.90,37.80,19.70,,,,,,,,,Modern / Contemporary
643018,080-432301528-0,,12.50,60.00,36.00,True,1348.50,1798.00,False,Furniture,Guildmaster,Bedford Credenza,Heritage Gray Dark Stain finish on wood credenza with beveled mirror door fronts.,Hand Painted,,,,,,,,1,IDN,O-100404,,,,,,,,,,,False,,Heritage Dark Grey Stain,,,,,,Mahogany,,,False,,,,,,,,False,,,,,156.50,62.60,40.20,14.60,,,,,,,,,Traditional
