manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,product__arm_height,product__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__designer_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product_styles
2181-060/S4,084-355816061-7,2.43,12.59,12.59,3.93,True,67.50,90.00,False,Decorative Accessory,Sterling,Tidings Of Joy Driftwood Stars,,Great For Organic Floral Displays,Coastal Essence,,,,,,,4,CHN,O-104250,,,,,,,Brown,,,,False,,Natural,,,,,,Wood,,,False,,,,,,,,False,,,,,7.71,12.60,13.78,12.60,,,,,,,,,Transitional
5231-003,084-355816574-2,28.60,30.00,26.00,32.00,True,268.50,358.00,False,Seating,Sterling,Tiergarten Chaise,,Compact Size.,Great For Occassional Use.,On-Trend Blue Grey Fabric.,,,,,,1,CHN,O-104251,16.00,,,,,,Blue,,,,False,,"Grey, Taupe, Cream, Black",,,,,,"Fabric, Foam, Wood",,,False,,26,16.00,22,,,,False,,,,396,33.00,28.50,16.50,26.75,,,,,,,,,Transitional
1141-093,074-811912158-1,3.00,7.00,14.00,27.00,True,190.50,254.00,False,Indoor Lighting,Dimond Lighting,Tiger By The Tail Wall Sconce,,,,,,,,,,1,CHN,O-104252,,,,,No,B11,,,,,False,,Aged Brass,,,False,,,METAL,2,,False,,,,,Rectangle Hardback,,,False,,,,,3.74,28.35,8.66,16.14,,,,,,,,,Transitional
1617024,080-434319726-3,,1.00,26.00,57.00,True,118.50,158.00,False,Wall Decor,Guildmaster,Tile Wall Tapestry,Handpainted architectural elements on tapestry with dowel and finials.,,,,,,,,,1,IDN,O-104253,,,,,,,,,,,False,,Hand-Painted Art,,,,,,"Brass, Canvas, Wood",,,False,,,,,,,,False,,,,,,26.00,57.00,1.00,,,,,,,,,Traditional
D2882,074-811909260-7,6.00,5.00,4.50,26.50,True,145.00,261.00,False,Indoor Lighting,Dimond Lighting,Tilting Bar Task Lamp,,,,,,,,,,1,CHN,O-104254,,,,,Yes,LED,,,,,False,,"Black, Chrome",,False,False,,,"Crystal, Metal",1,,False,,,,,Black Metal Shade,,Dimmer Switch,True,,10,,,7.25,28.00,8.00,8.00,,,,,,,,,Modern / Contemporary
D3644,084-355815919-2,16.30,19.00,19.00,64.00,True,277.00,498.60,False,Indoor Lighting,Dimond Lighting,Timbuktu Floor Lamp,,,,,,,,,,1,CHN,O-104255,,,,,No,A21 3-Way,,72,,,False,,Aged Gold,,False,False,,,"CAST ALUMINIUM, GLASS",1,,False,,,,,Round Hardback,,3-Way,False,,,,,21.00,28.00,21.00,28.00,,,,,,,,,Transitional
203522S,080-432320352-6,,4.00,24.00,4.00,True,133.50,178.00,False,Decorative Accessory,Guildmaster,Tin Bread Baskets,Our Tin Bread Baskets appear in every way like they were plucked from an early-twentieth-century neighborhood boulangerie. Crafted by skilled artisans using reclaimed tin. Features hand-painted graphics and an authentic Aged Metal finish. Ideal for Modern Farmhouse design themes. Nested Set of 3.,Crafted By Skilled Artisans Using Reclaimed Tin.,Features Hand-Painted Graphics And An Authentic Aged Metal Finish.,Ideal For Modern Farmhouse Design Themes.,Nested Set Of 3.,,,,,3,IDN,O-104256,,,,,,,,,,,False,,Hand-Painted,,,,,,Metal,,,False,,,,,,,,False,,,,,6.00,26.00,10.00,8.00,,,,,,,,,Traditional
3516510,080-434319622-8,,10.50,18.50,30.00,True,238.50,318.00,False,Indoor Lighting,Guildmaster,Tin Bucket Lamp,,,,,,,,,,1,IDN,O-104257,,,,,,,,,,,False,,Hand-Painted,,,,,,"Solid Mahogany, Fabric",,,False,,,,,,,,False,,,,,14.00,27.00,21.00,13.00,,,,,,,,,Traditional
203527S,080-432303527-1,,8.30,10.00,14.00,True,178.50,238.00,False,Decorative Accessory,Guildmaster,Tin Canisters,Set of three tin canisters with natural aged finish. Hand painted graphics and dog art.,Hand Painted,Set Of 3,,,,,,,1,IDN,O-104258,,,,,,,,,,,False,,Hand-Painted,,,,,,Metal,,,False,,,,,,,,False,,,,,8.40,12.20,18.50,10.20,,,,,,,,,Traditional
7117007,080-434319810-9,,15.00,15.00,23.00,True,373.50,498.00,False,Furniture,Guildmaster,Tin Covered Accent Table In Antique Silver Leaf,Antique Silver Leaf Finish on faux table cloth accent table.,,,,,,,,,1,IDN,O-104259,,,,,,,,,,,False,,Antique Silver Leaf,,,,,,"Metal, Wood",,,False,,,,,,,,False,,,,,,15.00,23.00,15.00,,,,,,,,,Traditional
7117006,080-434319809-3,,18.00,18.00,16.00,True,298.50,398.00,False,Furniture,Guildmaster,Tin Covered Side Table In Antique Silver Leaf,Antique Silver Leaf Finish on faux table cloth side table.,,,,,,,,,1,IDN,O-104259,,,,,,,,,,,False,,Antique Silver Leaf,,,,,,"Metal, Wood",,,False,,,,,,,,False,,,,,,18.00,16.00,18.00,,,,,,,,,Traditional
3516509,080-434319621-1,,18.00,18.00,28.50,True,223.50,298.00,False,Indoor Lighting,Guildmaster,Tin Simple Bucket Lamp,,,,,,,,,,1,IDN,O-104260,,,,,,,,,,,False,,Aged Metal,,,,,,"Solid Mahogany, Fabric",,,False,,,,,,,,False,,,,,,21.30,20.40,20.40,,,,,,,,,Traditional
7118503,080-434320655-2,97.00,30.00,64.00,18.00,True,643.50,858.00,False,Furniture,Guildmaster,Tin Top Nantucket Coffee Table,Nantucket coffee table with hand-nailed patterned reclaimed tin top finished in Euro teak finish.,,,,,,,,,1,IDN,O-104261,,,,,,,Brown,,,,False,,Euro Teak Oil,,,,,,"Teak, Galvanic Cover Tin",,,True,,,,,,,,False,,,,,112.40,66.00,10.00,32.00,,,,,,,,,Transitional
7118504,080-434320656-9,81.60,20.00,52.00,28.00,True,568.50,758.00,False,Furniture,Guildmaster,Tin Top Nantucket Console Table,Nantucket console table with hand-nailed patterned reclaimed tin top finished in Euro teak finish.,,,,,,,,,1,IDN,O-104261,,,,,,,Brown,,,,False,,Euro Teak Oil,,,,,,"Teak, Galvanic Cover Tin",,,True,,,,,,,,False,,,,,92.60,54.00,10.00,29.00,,,,,,,,,Transitional
7118505,080-434320657-6,50.70,22.00,22.00,22.00,True,223.50,298.00,False,Furniture,Guildmaster,Tin Top Nantucket Side Table,Nantucket side table with hand-nailed patterned reclaimed tin top finished in Euro teak finish.,,,,,,,,,1,IDN,O-104261,,,,,,,Brown,,,,False,,Euro Teak Oil,,,,,,"Teak, Galvanic Cover Tin",,,True,,,,,,,,False,,,,,55.00,24.50,10.00,24.50,,,,,,,,,Transitional
7011-315,084-355814046-6,99.20,16.00,42.00,68.00,True,1402.50,1870.00,False,Furniture,Sterling,Tobin Cabinet In Heritage Grey Stain,"Beautifully handcrafted from solid mahogany and embellished with gorgeous Coptic-style pulls and moldings, our Tobin series Cabinet defines the place where graceful and regal intersect. Showcases a classic spindle-and-stretcher openwork base, proud pediment and a distinctive Heritage Grey color story. Generously scaled.",,,,,,,,,1,IDN,O-104262,,,,,,,,,,,False,,Heritage Grey Stain,,,False,,,Mahogany,,,False,,,,,,,,False,,,,,110.00,61.00,44.00,20.00,,,,,,,,,Traditional
