,manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
4902,91-932,832740000060.0,4.0,6.0,8.0,17.0,True,97.5,,,Indoor Lighting,Sterling,PERCHING FINCH,,,,,,,,,,1.0,China,,,,,,No,B11,,,,,,,Burwell Bronze,,,No,,,"Acrylic, Composite, Glass, Metal",1.0,,No,,,,,Green Leaf Glass Shade,,Line Switch,,,15.0,,,6.0,19.0,12.0,10.0,,,,,,,,,,,,,Traditional
4903,93-028,841406007619.0,5.0,33.0,8.0,33.0,True,108,,,Indoor Lighting,Dimond Lighting,BIRD ON BRANCH/PICK SH#93-028,,,,,,,,,,1.0,China,,,,,,No,A19,,,,,,,"Black, Gold Leaf",,,No,,,"Composite, Fabric",1.0,,No,,,,,Taupe Striped Shantung Softback Shade,,On-Off Socket,UL,,100.0,,,6.0,7.0,27.0,7.0,,,,,,,,,,,,,Traditional
4904,93-028-LED,843558078837.0,5.0,33.0,8.0,33.0,True,123,,,Indoor Lighting,Dimond Lighting,Bird On Branch LED Table Lamp in Black And Gold Leaf,,,"Includes dimmable, easily replaceable 9.5 watt 800 lumen screw-in LED bulb",,,,,,,1.0,China,,,,,,Yes,LED,,,,,,,"Black, Gold Leaf",,,No,,,"Composite, Fabric",1.0,,No,,,,,Taupe Striped Shantung Softback Shade,,On-Off Socket,UL,,9.5,,,6.0,7.0,27.0,7.0,,,,,,,,,,,,,Traditional
4905,93-029,843558009787.0,8.0,17.0,17.0,31.0,True,157.5,,,Indoor Lighting,Dimond Lighting,SHABBY CHIC/PICK SH#93-029,,,,,,,,,,1.0,China,,,,,,No,A19,,,,,,,Distressed White,,,No,,,Composite,1.0,,No,,,,,Light Coffee Faux Silk Shade,,On-Off Socket,UL,,100.0,,,9.0,9.0,25.0,9.0,,,,,,,,,,,,,
4906,93-029-LED,843558078844.0,8.0,17.0,17.0,31.0,True,172.5,,,Indoor Lighting,Dimond Lighting,Morgan Hill Distressed LED Table Lamp in White,,,"Includes dimmable, easily replaceable 9.5 watt 800 lumen screw-in LED bulb",,,,,,,1.0,China,,,,,,Yes,LED,,,,,,,Distressed White,,,No,,,Composite,1.0,,No,,,,,Light Coffee Faux Silk Shade,,On-Off Socket,UL,,9.5,,,9.0,9.0,25.0,9.0,,,,,,,,,,,,,Traditional
4907,93-052,843558009770.0,7.0,17.0,11.0,31.0,True,159,,,Indoor Lighting,Dimond Lighting,THREE BIRD LIGHT/PICK SH#93-052,,,,,,,,,,1.0,China,,,,,,No,A19,,66.0,,,,,"Black, Gold Leaf",,,No,,,Composite,1.0,,No,,,,,Cream Shantung Softback Shade,,On-Off Socket,UL,,100.0,,,10.0,25.0,12.0,18.0,,,,,,,,,,,,,Traditional
4908,93-052-LED,843558078851.0,7.0,17.0,11.0,31.0,True,174,,,Indoor Lighting,Dimond Lighting,Three Bird 1 Light LED Table Lamp in Gold Leaf And Black,,,"Includes dimmable, easily replaceable 9.5 watt 800 lumen screw-in LED bulb",,,,,,,1.0,China,,,,,,Yes,LED,,66.0,,,,,"Black, Gold Leaf",,,No,,,Composite,1.0,,No,,,,,Cream Shantung Softback Shade,,On-Off Socket,UL,,9.5,,,10.0,25.0,12.0,18.0,,,,,,,,,,,,,Traditional
4909,93-071,841406011784.0,6.0,11.0,8.0,35.0,True,115.5,,,Indoor Lighting,Dimond Lighting,WHIMSICAL ELEGANCE/PICK SH#93-071,,,,,,,,,,1.0,China,,,,,,No,A19,,66.0,,,,,Columbus,,,No,,,Composite,1.0,,No,,,,,Cream Shantung Softback Shade,,On-Off Socket,UL,,100.0,,,8.0,28.0,7.0,7.0,,,,,,,,,,,,,Traditional
4910,93-071-LED,843558078868.0,6.0,11.0,8.0,35.0,True,130.5,,,Indoor Lighting,Dimond Lighting,Whimsical Elegance LED Table Lamp in Columbus Finish,,,"Includes dimmable, easily replaceable 9.5 watt 800 lumen screw-in LED bulb",,,,,,,1.0,China,,,,,,Yes,LED,,66.0,,,,,Columbus,,,No,,,Composite,1.0,,No,,,,,Cream Shantung Softback Shade,,On-Off Socket,UL,,9.5,,,8.0,7.0,28.0,7.0,,,,,,,,,,,,,Traditional
4911,93-0725,843558017621.0,2.0,4.0,9.0,7.5,True,57,,,Decorative Accessory,Sterling,LE JARDIN BOOKENDS,,,,,,,,,,1.0,China,,,,,,,,,,,,,,"Cream, Green",,,,,,Composite,,,No,,,,,,,,,,,,,5.0,8.0,9.0,6.0,,,,,,,,,,,,,
4912,93-090,841406008135.0,8.0,8.0,8.0,22.0,True,150,,,Indoor Lighting,Dimond Lighting,AMBER AND CRYSTAL,,,,,,,,,,1.0,China,,,,,,No,A19,,66.0,,,,,"Black, Gold Leaf",,,No,,,Composite,1.0,,No,,,,,Crystal Shade,,On-Off Socket,UL,,100.0,,,13.0,10.0,18.0,8.0,,,,,,,,,,,,,Traditional
4913,93-10013,843558033058.0,2.0,8.0,8.0,12.8,True,66,,,Indoor Lighting,Sterling,STACKED TEA CUPS ACCENT LAMP,,,,,,,,,,1.0,China,,,,,,No,A19,,66.0,,,,,Jai,,,No,,,Composite,1.0,,No,,,,,Cream Softback Shantung Shade With Cream Liner,,On-Off Line Switch,,,25.0,,,3.0,13.0,12.0,7.0,,,,,,,,,,,,,Traditional
4914,93-10026,843558033171.0,6.0,6.0,13.0,17.0,True,150,,,Indoor Lighting,Dimond Lighting,DISTRESSED WOOD TONE ACCENT LAMP WITH BURLAMP SHADE,,,,,,,,,,1.0,China,,,,,,No,A19,,66.0,,,,,Corbel,,,No,,,Composite,1.0,,No,,,,,Burlap Softback Shade With Cream Fabric Liner,,Line Switch,,,40.0,,,8.0,17.0,8.0,14.0,,,,,,,,,,,,,Traditional
4915,93-10030,843558033218.0,7.0,7.0,15.0,26.0,True,192,,,Indoor Lighting,Dimond Lighting,SCROLL TABLE LAMP WITH ACRYLIC BASE,,,,,,,,,,1.0,China,,,,,,No,A19,,66.0,,,,,Presidente,,,No,,,Composite,1.0,,No,,,,,Sand Colored Linen Softback Shade With Cream Fabric Liner,,Line Switch,UL,,60.0,,,8.0,19.0,16.0,8.0,,,,,,,,,,,,,Traditional
4916,93-10030-LED,843558079100.0,7.0,7.0,15.0,26.0,True,207,,,Indoor Lighting,Dimond Lighting,Springfield 1 Light LED Table Lamp in Presidente Finish,,,"Includes dimmable, easily replaceable 9.5 watt 800 lumen screw-in LED bulb",,,,,,,1.0,China,,,,,,Yes,LED,,66.0,,,,,Presidente,,,No,,,Composite,1.0,,No,,,,,Sand Colored Linen Softback Shade with Cream Fabric Liner,,Line Switch,UL,,9.5,,,8.0,16.0,19.0,8.0,,,,,,,,,,,,,Traditional
4917,93-10056,843558033478.0,3.0,4.0,4.0,7.0,True,31.5,,,Decorative Accessory,Sterling,BIRD BOX IN DISTRESSED FINISH,,,,,,,,,,1.0,China,,,,,,,,,,,,,,Vintage White,,,,,,Composite,,,No,,,,,,,,,,,,,3.0,10.0,7.0,7.0,,,,,,,,,,,,,
4918,93-1220,843558018956.0,5.0,6.0,7.0,8.5,True,60,,,Decorative Accessory,Sterling,PAIR ZEBRA BOOKENDS,,,,,,,,,,1.0,China,,,,,,,,,,,,,,"Black, Cream",,,,,,Composite,,,No,,,,,,,,,,,,,3.0,11.0,9.0,11.0,,,,,,,,,,,,,Traditional
4919,93-139,843558012015.0,11.0,19.0,19.0,16.5,True,270,,,Indoor Lighting,Sterling,2 LITE COLLECTORS PENDANT (WINE BOTTLES NOT INCLUDED),,,,,,,,,,1.0,China,,,,,,No,A19,,72.0,,,,,Black,,,No,,,Metal,2.0,,No,,,,,,,Hardwired,,,100.0,,,12.0,21.0,21.0,8.0,,,,,,,,,,,,,Traditional
