,manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
3004,4154-040,084-355813780-0,4.9,,8.7,7.9,True,56.58,82.0,False,Decorative Accessory,Dimond Home,Cut Glass Horn Vase,,,,,,,,,,,CHN,,,,,,,,,,,,,,Purple,,,,,,Glass,,,,,,,,,,,,,,,,5.7,11.2,10.4,9.6,,,,,,,,,,,,,Transitional
3005,4154-041,084-355813781-7,,,9.0,14.0,True,89.70,130.0,False,Decorative Accessory,Sterling,Wide Mouth Cut Glass Vase,,,,,,,,,,,CHN,,,,,,,,,,,,,,Brown,,,,,,Glass,,,,,,,,,,,,,,,,6.2,15.0,10.0,9.0,,,,,,,,,,,,,Transitional
3006,4154-042,084-355813782-4,,,14.0,9.0,True,109.02,158.0,False,Decorative Accessory,Sterling,Cut Glass Bowl,,,,,,,,,,,CHN,,,,,,,,,,,,,,Brown,,,,,,Glass,,,,,,,,,,,,,,,,7.8,15.0,15.0,9.0,,,,,,,,,,,,,Transitional
3007,4154-044/S4,084-355813784-8,7.7,,4.5,4.7,True,91.08,132.0,False,Decorative Accessory,Dimond Home,Cut Pebble Vases - Blue,,,,,,,,,,,CHN,,,,,,,,,,,,,,Blue,,,,,,Glass,,,,,,,,,,,,,,,,8.8,7.0,7.2,5.5,,,,,,,,,,,,,Transitional
3008,4154-047,084-355813779-4,4.9,,8.7,7.9,True,56.58,82.0,False,Decorative Accessory,Dimond Home,Cut Glass Horn Vase,,,,,,,,,,,CHN,,,,,,,,,,,,,,Amber,,,,,,Glass,,,,,,,,,,,,,,,,5.7,11.2,10.4,9.6,,,,,,,,,,,,,Transitional
3009,4154-056,081-800802984-4,14.0,,31.5,21.7,True,459.54,666.0,False,Decorative Accessory,Dimond Home,Tultui Decorative Tabletop Sculpture,,,,,,,,,,,CHN,,,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,,,15.0,11.0,34.6,9.1,,,,,,,,,,,,,Transitional
3010,4154-058,081-800802985-1,14.0,,15.7,21.7,True,229.08,332.0,False,Decorative Accessory,Dimond Home,Tultui Decorative Tabletop Sculpture,,,,,,,,,,,CHN,,,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,,,15.0,11.0,18.9,9.1,,,,,,,,,,,,,Transitional
3011,4154-060,081-800803739-9,7.5,,8.1,16.0,True,71.76,104.0,False,Decorative Accessory,Dimond Home,Vase Vourvoulos Vessel - Small,,,,,,,,,,,CHN,,,,,,,,,,,,,,Tierra Emerald,,,,,,GLASS,,,,,,,,,,,,,,,,9.0,10.0,18.0,10.0,,,,,,,,,,,,,Transitional
3012,4154-062,081-800803740-5,7.0,,8.9,12.0,True,57.96,84.0,False,Decorative Accessory,Dimond Home,Vase Vourvoulos Vessel -Large,,,,,,,,,,,CHN,,,,,,,,,,,,,,Tierra Emerald,,,,,,GLASS,,,,,,,,,,,,,,,,33.0,24.4,12.8,22.0,,,,,,,,,,,,,Transitional
3013,4154-063,081-800803741-2,6.6,,7.3,13.0,True,57.96,84.0,False,Decorative Accessory,Dimond Home,Blue Grotto Vase - Tall,,,,,,,,,,,CHN,,,,,,,,,,,,,,Maven,,,,,,GLASS,,,,,,,,,,,,,,,,30.8,19.69,16.34,19.69,,,,,,,,,,,,,Transitional
3014,4154-064,081-800803742-9,4.0,,8.1,5.3,True,42.78,62.0,False,Decorative Accessory,Dimond Home,Blue Grotto Vase - Small,,,,,,,,,,,CHN,,,,,,,,,,,,,,Maven,,,,,,GLASS,,,,,,,,,,,,,,,,36.4,21.26,16.14,21.26,,,,,,,,,,,,,Transitional
3015,4154-065,081-800803743-6,2.7,,6.7,18.5,True,42.78,62.0,False,Decorative Accessory,Dimond Home,Mojave Vase  - Tall,,,,,,,,,,,CHN,,,,,,,,,,,,,,Rose,,,,,,GLASS,,,,,,,,,,,,,,,,15.4,18.5,21.85,18.5,,,,,,,,,,,,,Transitional
3016,4154-066,081-800803744-3,3.3,,8.7,11.4,True,42.78,62.0,False,Decorative Accessory,Dimond Home,Mojave Vase  - Small,,,,,,,,,,,CHN,,,,,,,,,,,,,,Rose,,,,,,GLASS,,,,,,,,,,,,,,,,17.6,22.44,14.76,22.44,,,,,,,,,,,,,Transitional
3017,4154-067/S2,084-355815875-1,9.8,,8.0,17.0,True,122.82,178.0,False,Decorative Accessory,Dimond Home,Cactus Cooler Vase - Large and Small,,,,,,,,,,,CHN,,,,,,,,,,,,,,Green,,,,,,MOUTH BLOWN ART GLASS,,,,,,,,,,,,,,,,25.0,26.5,19.5,13.5,12.0,13.5,19.5,13.5,,,,,,,,,Transitional
3018,4209-002,084-355815452-4,2.8,,8.4,4.2,True,24.84,36.0,False,Decorative Accessory,Sterling,Marara Jewelry Box,,,,,,,,,,,CHN,,,,,,,,,,,,,,Blue,,,,,,"Glass, Wood",,,,,,,,,,,,,,,,4.3,16.4,18.8,11.0,,,,,,,,,,,,,Transitional
3019,4209-004,084-355815454-8,8.0,,13.4,3.4,True,60.72,88.0,False,Decorative Accessory,Sterling,Tower Hill Tray,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Gold, Silver Mirror",,,,,,"Metal, Mirror",,,,,,,,,,,,,,,,10.0,15.2,19.0,15.2,,,,,,,,,,,,,Transitional
3020,4209-006/S2,084-355815455-5,8.0,,3.8,6.0,True,138.00,200.0,False,Decorative Accessory,Sterling,Vanquish Bookends,,,,,,,,,,,CHN,,,,,,,,,,,,,,Gold,,,,,,"Crystal, Metal",,,,,,,,,,,,,,,,10.0,9.2,20.0,3.6,,,,,,,,,,,,,Transitional
3021,4209-007/S2,084-355815456-2,8.0,,4.4,4.8,True,69.00,100.0,False,Decorative Accessory,Sterling,Elysium Bookends,,,,,,,,,,,CHN,,,,,,,,,,,,,,Blue,,,,,,"Agate, Crystal, Glass",,,,,,,,,,,,,,,,10.0,13.2,7.4,11.6,,,,,,,,,,,,,Transitional
3022,4209-008,084-355815457-9,9.0,,13.2,0.8,True,122.82,178.0,False,Decorative Accessory,Sterling,Vanquish Decorative Tic Tac Toe Game,,,,,,,,,,,CHN,,,,,,,,,,,,,,Gold,,,,,,"Metal, Wood",,,,,,,,,,,,,,,,7.0,14.0,2.0,14.0,,,,,,,,,,,,,Transitional
3023,4209-009/S2,084-355815458-6,8.0,,2.6,7.4,True,56.58,82.0,False,Decorative Accessory,Sterling,Eros Bookends,,,,,,,,,,,CHN,,,,,,,,,,,,,,Gold,,,,,,"Crystal, Metal",,,,,,,,,,,,,,,,10.0,12.8,16.4,12.0,,,,,,,,,,,,,Transitional
3024,4209-010,081-800803435-0,2.2,,2.6,12.4,True,55.20,80.0,False,Decorative Accessory,Dimond Home,Grand Duchess Agate and Crystal Stand - Tall,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Clear, Natural",,,,,,"Agate, Crystal",,,,,,,,,,,,,,,,3.2,12.0,13.6,6.8,,,,,,,,,,,,,Transitional
3025,4209-011,081-800803436-7,3.1,,5.6,8.4,True,74.52,108.0,False,Decorative Accessory,Dimond Home,Grand Duchess Agate and Crystal Stand - Small,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Clear, Natural",,,,,,"Agate, Crystal",,,,,,,,,,,,,,,,4.1,16.8,33.2,6.4,,,,,,,,,,,,,Transitional
3026,4209-012,081-800803437-4,2.1,,14.6,1.2,True,45.54,66.0,False,Decorative Accessory,Dimond Home,Atafu Agate Handle Tray,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Black, Blue",,,,,,"Agate, Mirror",,,,,,,,,,,,,,,,5.0,21.6,12.2,18.0,,,,,,,,,,,,,Transitional
3027,4209-017,081-800803440-4,8.3,,22.4,5.6,True,114.54,166.0,False,Decorative Accessory,Dimond Home,Marlborough Tray,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Antique Mirror, Gold",,,,,,"Metal, Mirror",,,,,,,,,,,,,,,,10.2,31.6,24.8,23.6,,,,,,,,,,,,,Transitional
3028,4209-018,081-800803441-1,1.9,,8.0,0.6,True,27.60,40.0,False,Decorative Accessory,Dimond Home,Goldbrier 5x7 Photo Frame,,,,,,,,,,,CHN,,,,,,,,,,,,,,Gold Plate,,,,,,Metal,,,,,,,,,,,,,,,,4.0,11.6,13.2,9.6,,,,,,,,,,,,,Transitional
3029,4209-020,084-355815598-9,,,14.96,1.97,True,71.76,104.0,False,Decorative Accessory,Sterling,Chatelaine Round Tray,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Gold Metal, Clear Mirror",,,,,,"METAL, MIRROR",,,,,,,,,,,,,,,,,16.0,3.0,16.0,,,,,,,,,,,,,Transitional
3030,4209-021,084-355815599-6,,,13.58,2.17,True,46.92,68.0,False,Decorative Accessory,Sterling,Chatelaine Rectagular Tray,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Gold, Clear Mirror",,,,,,"Metal, Mirror",,,,,,,,,,,,,,,,4.0,10.0,16.0,4.0,,,,,,,,,,,,,Transitional
3031,4209-022,084-355815638-2,,,3.54,16.93,True,81.42,118.0,False,Decorative Accessory,Sterling,Alternative Rock Decorative Accessory,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Natural Stone, Gold Metal, Clear Crystal",,,,,,"METAL, STONE, CRYSTAL",,,,,,,,,,,,,,,,5.0,6.0,20.0,6.0,,,,,,,,,,,,,Transitional
3032,4209-024/S2,084-355815640-5,,,10.0,6.0,True,81.42,118.0,False,Decorative Accessory,Sterling,Rock Steady Bookends,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Clear Crystal, Natural Rock Crystal",,,,,,"CRYSTAL, STONE",,,,,,,,,,,,,,,,,11.0,7.0,4.0,,,,,,,,,,,,,Transitional
3033,4209-025,084-355815641-2,,,4.72,19.29,True,86.94,126.0,False,Decorative Accessory,Sterling,Glam Rock Object,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Purple Semi Precious Stone, Gold, Clear",,,,,,"METAL, SEMI PRECIUS STONE, CRYSTAL",,,,,,,,,,,,,,,,6.0,6.0,21.0,6.0,,,,,,,,,,,,,Transitional
3034,4209-027,084-355815643-6,,,5.31,12.99,True,51.06,74.0,False,Decorative Accessory,Sterling,Spider Conch Decorative Accessory,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Natural, Nickel, Clear",,,,,,"SHELL, METAL, CRYSTAL",,,,,,,,,,,,,,,,,7.0,14.0,5.0,,,,,,,,,,,,,Transitional
3035,4209-028,084-355815600-9,,,21.0,21.0,True,81.42,118.0,False,Wall Decor,Sterling,Effluence Wall Mirror,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Metal Frame, Mirror",,,,,,"METAL, MIRROR",,,,,,,,,,,,,,,,,22.0,22.0,2.0,,,,,,,,,,,,,Transitional
3036,4209-029,084-355816083-9,2.76,,14.0,2.0,True,117.30,170.0,False,Decorative Accessory,Sterling,Amplitude Tray,,,,,,,,,,,CHN,,,,,,,,,,,,,,Gold Plated,,,,,,"Metal, Mirror",,,,,,,,,,,,,,,,4.4,14.0,2.0,9.0,,,,,,,,,,,,,Transitional
3037,4209-030/S2,084-355816084-6,6.69,,7.0,5.0,True,57.96,84.0,False,Decorative Accessory,Sterling,Fresca Bookends,,,,,,,,,,,CHN,,,,,,,,,,,,,,Pink,,,,,,Semi-Precious Stone,,,,,,,,,,,,,,,,1.17,7.0,5.0,2.0,,,,,,,,,,,,,Transitional
